"Tid","Typ","Text"
"2026-03-12 06:32:18.709","Generellt","Warning! High compressed air leakage"
"2026-03-12 06:32:18.640","Information","Change to automatic operation mode"
"2026-03-12 06:32:07.300","Generellt","Alarm reset"
"2026-03-12 06:29:55.700","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 06:29:55.700","Information","Change to manual operation mode"
"2026-03-12 06:29:35.118","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 03:43:58.939","Information","Sequence 42 emptied 11 valves in 8 minutes"
"2026-03-12 03:30:00.132","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 03:30:00.062","Information","Sequence 42 queued"
"2026-03-12 03:30:00.062","Information","Sequence 42 start"
"2026-03-12 02:50:50.241","Information","Sequence 41 emptied 18 valves in 15 minutes"
"2026-03-12 02:30:00.115","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 02:30:00.046","Information","Sequence 41 start"
"2026-03-12 02:30:00.046","Information","Sequence 41 queued"
"2026-03-12 01:16:23.483","Generellt","SESAM communication error"
"2026-03-12 01:01:52.125","Information","Sequence 3 emptied 48 valves in 21 minutes"
"2026-03-12 00:35:00.103","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 00:35:00.032","Information","Sequence 3 start"
"2026-03-12 00:35:00.032","Information","Sequence 3 queued"
"2026-03-11 19:57:36.479","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-11 19:51:08.538","Information","Sequence 21 queued"
"2026-03-11 19:50:28.989","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 19:50:28.919","Information","Sequence 31 start"
"2026-03-11 19:50:28.919","Information","Sequence 31 queued"
"2026-03-11 19:30:24.574","Information","Sequence 21 emptied 1 valves in 1 minutes"
"2026-03-11 19:23:42.215","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 19:23:42.215","Information","Sequence 21 start"
"2026-03-11 19:23:42.145","Information","Sequence 21 queued"
"2026-03-11 18:28:30.878","Information","Sequence 22 emptied 1 valves in 2 minutes"
"2026-03-11 18:27:26.688","Generellt","Level error on DV 12:1"
"2026-03-11 18:21:15.901","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 18:21:15.830","Information","Sequence 22 queued"
"2026-03-11 18:21:15.830","Information","Sequence 22 start"
"2026-03-11 18:11:36.862","Information","Sequence 21 emptied 1 valves in 2 minutes"
"2026-03-11 18:04:27.834","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 18:04:27.834","Information","Sequence 21 start"
"2026-03-11 18:04:27.764","Information","Sequence 21 queued"
"2026-03-11 17:38:07.800","Information","Sequence 21 emptied 1 valves in 2 minutes"
"2026-03-11 17:30:56.040","Information","Sequence 21 start"
"2026-03-11 17:30:56.040","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 17:30:55.970","Information","Sequence 21 queued"
"2026-03-11 15:43:23.325","Information","Sequence 12 emptied 12 valves in 8 minutes"
"2026-03-11 15:30:00.078","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 15:30:00.008","Information","Sequence 12 start"
"2026-03-11 15:30:00.008","Information","Sequence 12 queued"
"2026-03-11 15:16:36.833","Information","Sequence 23 emptied 1 valves in 3 minutes"
"2026-03-11 15:15:28.653","Generellt","Level error on DV 14:6"
"2026-03-11 15:08:08.145","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 15:08:08.145","Information","Sequence 23 start"
"2026-03-11 15:08:08.075","Information","Sequence 23 queued"
"2026-03-11 15:01:06.466","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-11 14:54:33.208","Information","Sequence 21 queued"
"2026-03-11 14:53:51.558","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 14:53:51.488","Information","Sequence 31 queued"
"2026-03-11 14:53:51.488","Information","Sequence 31 start"
"2026-03-11 14:51:37.857","Information","Sequence 11 emptied 17 valves in 16 minutes"
"2026-03-11 14:43:50.259","Generellt","DV 13:12 failed to open"
"2026-03-11 14:39:03.890","Generellt","Level error on DV 29:19"
"2026-03-11 14:30:00.133","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 14:30:00.062","Information","Sequence 11 start"
"2026-03-11 14:30:00.062","Information","Sequence 11 queued"
"2026-03-11 13:29:47.026","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-11 13:23:18.529","Information","Sequence 21 queued"
"2026-03-11 13:22:38.979","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 13:22:38.909","Information","Sequence 31 start"
"2026-03-11 13:22:38.909","Information","Sequence 31 queued"
"2026-03-11 10:53:39.734","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-11 10:46:28.814","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 10:46:28.744","Information","Sequence 31 queued"
"2026-03-11 10:46:28.744","Information","Sequence 31 start"
"2026-03-11 10:43:17.366","Information","Sequence 52 emptied 2 valves in 1 minutes"
"2026-03-11 10:41:10.737","Information","Sequence 52 start"
"2026-03-11 10:41:09.546","Information","Sequence 51 emptied 7 valves in 6 minutes"
"2026-03-11 10:30:00.139","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 10:30:00.069","Information","Sequence 51 queued"
"2026-03-11 10:30:00.069","Information","Sequence 52 queued"
"2026-03-11 10:30:00.069","Information","Sequence 51 start"
"2026-03-11 10:28:46.709","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-11 10:22:17.371","Information","Sequence 21 queued"
"2026-03-11 10:21:37.821","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 10:21:37.750","Information","Sequence 31 queued"
"2026-03-11 10:21:37.750","Information","Sequence 31 start"
"2026-03-11 08:20:07.785","Information","Sequence 21 emptied 1 valves in 4 minutes"
"2026-03-11 08:10:37.288","Information","Sequence 21 start"
"2026-03-11 08:10:37.288","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 08:10:37.218","Information","Sequence 21 queued"
"2026-03-11 08:04:25.380","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-11 07:57:54.922","Information","Sequence 21 queued"
"2026-03-11 07:57:15.372","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 07:57:15.301","Information","Sequence 31 queued"
"2026-03-11 07:57:15.301","Information","Sequence 31 start"
"2026-03-11 06:27:46.741","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-11 06:27:44.571","Generellt","Warning! High compressed air leakage"
"2026-03-11 06:27:40.442","Generellt","Alarm reset"
"2026-03-11 06:26:28.411","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-11 03:43:42.259","Information","Sequence 42 emptied 12 valves in 8 minutes"
"2026-03-11 03:40:59.790","Generellt","Level error on DV 3:2"
"2026-03-11 03:30:00.113","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 03:30:00.043","Information","Sequence 42 start"
"2026-03-11 03:30:00.043","Information","Sequence 42 queued"
"2026-03-11 02:53:43.751","Information","Sequence 41 emptied 18 valves in 18 minutes"
"2026-03-11 02:30:00.097","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-11 02:30:00.026","Information","Sequence 41 queued"
"2026-03-11 02:30:00.026","Information","Sequence 41 start"
"2026-03-10 19:41:49.292","Information","Sequence 21 emptied 2 valves in 2 minutes"
"2026-03-10 19:33:59.663","Information","Sequence 21 start"
"2026-03-10 19:33:59.663","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 19:33:59.593","Information","Sequence 21 queued"
"2026-03-10 19:28:58.035","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 19:22:26.596","Information","Sequence 21 queued"
"2026-03-10 19:21:47.046","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 19:21:46.976","Information","Sequence 31 queued"
"2026-03-10 19:21:46.976","Information","Sequence 31 start"
"2026-03-10 17:29:16.343","Information","Container 1 connected"
"2026-03-10 16:37:33.325","Information","Container 1 disconnected"
"2026-03-10 15:46:08.228","Information","Sequence 12 emptied 14 valves in 11 minutes"
"2026-03-10 15:30:00.130","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 15:30:00.060","Information","Sequence 12 start"
"2026-03-10 15:30:00.060","Information","Sequence 12 queued"
"2026-03-10 15:22:59.292","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 15:16:25.753","Information","Sequence 21 queued"
"2026-03-10 15:15:46.204","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 15:15:46.134","Information","Sequence 31 queued"
"2026-03-10 15:15:46.134","Information","Sequence 31 start"
"2026-03-10 15:12:43.644","Information","Sequence 11 emptied 6 valves in 7 minutes"
"2026-03-10 15:00:00.087","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 15:00:00.017","Information","Sequence 11 start"
"2026-03-10 14:57:20.139","Nödstopp","Average power during last hour have been higher than 30 kW. System will pause further operation until next calendar hour"
"2026-03-10 14:57:19.019","Information","Sequence 11 emptied 21 valves in 22 minutes"
"2026-03-10 14:54:59.298","Information","Sequence 11 queued"
"2026-03-10 14:47:17.860","Generellt","DV 13:12 failed to open"
"2026-03-10 14:30:00.114","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 14:30:00.043","Information","Sequence 11 queued"
"2026-03-10 14:30:00.043","Information","Sequence 11 start"
"2026-03-10 14:11:52.599","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 14:05:14.371","Information","Sequence 21 queued"
"2026-03-10 14:04:34.821","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 14:04:34.751","Information","Sequence 31 queued"
"2026-03-10 14:04:34.751","Information","Sequence 31 start"
"2026-03-10 14:03:33.640","Information","Sequence 22 emptied 1 valves in 1 minutes"
"2026-03-10 13:56:40.012","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 13:56:39.943","Information","Sequence 22 start"
"2026-03-10 13:56:39.943","Information","Sequence 22 queued"
"2026-03-10 13:26:53.410","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 13:20:24.281","Information","Sequence 21 queued"
"2026-03-10 13:19:44.731","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 13:19:44.661","Information","Sequence 31 start"
"2026-03-10 13:19:44.661","Information","Sequence 31 queued"
"2026-03-10 12:14:50.996","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 12:08:16.266","Information","Sequence 22 queued"
"2026-03-10 12:07:36.647","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 12:07:36.577","Information","Sequence 31 queued"
"2026-03-10 12:07:36.577","Information","Sequence 31 start"
"2026-03-10 11:06:08.992","Information","Sequence 22 emptied 1 valves in 1 minutes"
"2026-03-10 10:59:46.654","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 10:59:46.584","Information","Sequence 22 queued"
"2026-03-10 10:59:46.584","Information","Sequence 22 start"
"2026-03-10 10:46:34.815","Information","Sequence 52 emptied 2 valves in 2 minutes"
"2026-03-10 10:44:11.037","Information","Sequence 52 start"
"2026-03-10 10:44:09.847","Information","Sequence 51 emptied 6 valves in 9 minutes"
"2026-03-10 10:30:00.121","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 10:30:00.050","Information","Sequence 52 queued"
"2026-03-10 10:30:00.050","Information","Sequence 51 start"
"2026-03-10 10:30:00.050","Information","Sequence 51 queued"
